Date,China_Confirmed,Outside_China_Confirmed
2020-01-22,548.0,7.0
2020-01-23,643.0,10.0
2020-01-24,920.0,21.0
2020-01-25,1406.0,28.0
2020-01-26,2075.0,43.0
2020-01-27,2877.0,50.0
2020-01-28,5509.0,69.0
2020-01-29,6087.0,79.0
2020-01-30,8141.0,93.0
2020-01-31,9802.0,125.0
2020-02-01,11891.0,147.0
2020-02-02,16630.0,157.0
2020-02-03,19716.0,165.0
2020-02-04,23707.0,185.0
2020-02-05,27440.0,195.0
2020-02-06,30587.0,230.0
2020-02-07,34110.0,281.0
2020-02-08,36814.0,306.0
2020-02-09,39829.0,321.0
2020-02-10,42354.0,408.0
2020-02-11,44386.0,416.0
2020-02-12,44759.0,462.0
2020-02-13,59895.0,473.0
2020-02-14,66358.0,527.0
2020-02-15,68413.0,617.0
2020-02-16,70513.0,711.0
2020-02-17,72434.0,824.0
2020-02-18,74211.0,925.0
2020-02-19,74619.0,1020.0
2020-02-20,75077.0,1120.0
2020-02-21,75550.0,1273.0
2020-02-22,77001.0,1578.0
2020-02-23,77022.0,1943.0
2020-02-24,77241.0,2327.0
2020-02-25,77754.0,2659.0
2020-02-26,78166.0,3229.0
2020-02-27,78600.0,4154.0
2020-02-28,78928.0,5192.0
2020-02-29,79356.0,6655.0
2020-03-01,79932.0,8437.0
2020-03-02,80136.0,10170.0
2020-03-03,80261.0,12579.0
2020-03-04,80386.0,14734.0
2020-03-05,80537.0,17345.0
2020-03-06,80690.0,21094.0
2020-03-07,80770.0,25051.0
2020-03-08,80823.0,28972.0
2020-03-09,80860.0,32701.0
2020-03-10,80887.0,37705.0
2020-03-11,80921.0,44944.0
2020-03-12,80932.0,47411.0
2020-03-13,80945.0,64248.0
2020-03-14,80977.0,75117.0
2020-03-15,81003.0,86443.0
2020-03-16,81033.0,100494.0
2020-03-17,81058.0,116084.0
2020-03-18,81102.0,133808.0
